X,Y,Z,TP,Source
554825.06,4776458.9,1,0.00932,CSMI
554825.06,4776458.9,1,0.0086,CSMI
557050.11,4777077.7,1,0.01383,CSMI
557457.68,4777191.1,1,0.00841,CSMI
551482.03,4783451.9,1,0.02123,CSMI
553637.33,4784246.9,1,0.01696,CSMI
553637.33,4784246.9,1,0.0068,CSMI
554269.98,4784480.2,1,0.01313,CSMI
550701.78,4785253.2,1,0.00781,CSMI
552690.64,4785986,1,0.01692,CSMI
549671.54,4787003.3,1,0.00946,CSMI
551970.27,4787850.3,1,0.00789,CSMI
552495.85,4788043.9,1,0.00975,CSMI
546263.16,4794207,1,0.00345,CSMI
548341.37,4794988.6,1,0.00989,CSMI
548976.61,4795227.5,1,0.01532,CSMI
