Station,Depth,TP,Date,lat,lon,X,Y,Source
Grand10S_5m,2,4.71,2015-07-18,42.96868924,-86.23084276,562724.70,4757624.8,CSMI
Grand2S_20m,2,8.21,2015-07-18,43.03485842,-86.2766948,558922.19,4764939.6,CSMI
Grand2S_10m,2,6.81,2015-07-18,43.03930031,-86.25119858,560994.78,4765451.1,CSMI
Grand2S_5m,2,8.48,2015-07-18,43.0405629,-86.24394471,561584.39,4765596.6,CSMI
GrandMth_20m,2,11.79,2015-07-18,43.05174376,-86.28520028,558213.34,4766808.8,CSMI
GrandMth_10m,2,28.52,2015-07-18,43.05614293,-86.25989014,560270.30,4767315.2,CSMI
GrandMth_5m,2,39.21,2015-07-18,43.05707665,-86.25451344,560707.23,4767422.7,CSMI
Grand2N_20m,2,17.71,2015-07-18,43.06894509,-86.29136576,557695.09,4768714.7,CSMI
Grand2N_10m,2,19.55,2015-07-18,43.07393961,-86.26292249,560006.00,4769289.3,CSMI
Grand2N_5m,2,20.3,2015-07-18,43.07503839,-86.25665898,560514.84,4769415.8,CSMI
Grand5N_20m,2,14.93,2015-07-18,43.094526,-86.30433062,556615.96,4771546.7,CSMI
Grand5N_10m,2,16.86,2015-07-18,43.09979607,-86.27492078,559004.38,4772152.2,CSMI
Grand5N_5m,2,15.95,2015-07-18,43.10104846,-86.26770355,559590.48,4772296.4,CSMI
Alpha,5,8.58,2015-07-21,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.44,2015-07-21,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.09,2015-07-21,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,3.47,2015-07-22,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,5.87,2015-07-22,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,7.78,2015-07-22,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,5.34,2015-07-22,43.05367,-86.26283,560033.30,4767038.4,Pothoven
GH15,5,17.13,2015-08-03,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,11.63,2015-08-03,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,13.33,2015-08-03,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,8.76,2015-08-03,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,4.77,2015-08-05,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.17,2015-08-05,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.7,2015-08-05,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,2.94,2015-08-18,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.98,2015-08-18,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.66,2015-08-18,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,3.11,2015-09-01,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.42,2015-09-01,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.64,2015-09-01,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,3.31,2015-09-02,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.27,2015-09-02,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,3.51,2015-09-02,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,3.82,2015-09-02,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,2.69,2015-09-21,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.44,2015-09-21,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.59,2015-09-21,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,2.89,2015-10-05,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.96,2015-10-05,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,2.79,2015-10-05,43.19983,-86.56983,534948.63,4783095.8,Pothoven
GH15,5,12.77,2015-10-06,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.75,2015-10-06,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,2.39,2015-10-06,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,6.29,2015-10-06,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Alpha,5,3.17,2015-10-22,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,2.93,2015-10-22,43.20617,-86.44967,544706.27,4783857.0,Pothoven
Omega,5,3.15,2015-10-22,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,4.95,2015-11-03,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.81,2015-11-03,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,4.63,2015-11-03,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,6.65,2015-11-03,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,5.6,2015-11-03,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,5.64,2015-11-03,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,3.94,2015-11-03,43.19983,-86.56983,534948.63,4783095.8,Pothoven
Alpha,5,3.69,2015-12-07,43.18817,-86.344,553306.10,4781920.0,Pothoven
Beta,5,3.17,2015-12-07,43.20617,-86.44967,544706.27,4783857.0,Pothoven
GH15,5,3.25,2015-12-07,43.07282,-86.27887,558708.76,4769153.7,Pothoven
Leg C #1,5,3.86,2015-12-07,43.22017,-86.35417,552452.27,4785467.2,Pothoven
Leg D #1,5,4.58,2015-12-07,43.14233,-86.29933,556978.55,4776858.7,Pothoven
Leg E #1,5,3.64,2015-12-07,43.05367,-86.26283,560033.30,4767038.4,Pothoven
Omega,5,4.07,2015-12-07,43.19983,-86.56983,534948.63,4783095.8,Pothoven
